Antiguedad_Meses,Factura_Mensual,Reclamos_Soporte,Datos_GB,Cancelo_Servicio
52,65.83,4,85.23,1
15,74.56,2,35.31,1
61,114.15,0,83.75,0
21,58.61,5,8.52,1
24,116.12,3,61.65,1
3,110.54,5,26.85,1
22,39.58,1,16.45,1
53,26.94,1,12.31,0
2,30.08,4,71.15,1
30,21.82,2,37.29,1
38,29.44,1,73.85,1
2,88.3,0,11.21,1
64,27.12,5,34.95,1
60,51.9,5,56.25,1
21,104.49,4,80.12,1
33,22.33,3,35.28,1
58,101.45,4,64.46,1
22,48.19,3,89.17,1
49,31.82,4,63.51,1
59,89.67,4,27.13,1
42,82.89,4,7.32,1
60,107.75,3,87.66,1
15,93.51,3,7.02,1
62,100.35,4,88.1,1
62,48.2,1,55.25,0
47,37.74,2,94.21,1
62,95.06,2,80.88,1
51,100.68,2,99.8,1
55,119.05,3,38.32,1
64,61.26,3,77.88,1
3,57.2,1,43.18,1
51,97.64,2,50.59,1
7,54.08,2,64.61,1
21,113.08,4,88.0,1
39,105.84,3,98.49,1
18,62.9,2,77.99,1
4,95.09,5,44.69,1
60,95.45,1,45.03,1
14,30.31,5,75.07,1
9,110.26,5,27.68,1
53,70.53,1,15.5,1
2,102.65,5,38.69,1
60,52.0,2,32.29,1
71,109.55,3,33.15,1
44,58.92,1,27.19,1
8,21.08,4,9.0,1
47,110.54,5,6.7,1
35,29.13,1,98.83,1
36,51.93,0,45.64,0
50,115.01,0,41.51,0
4,115.06,3,69.57,1
2,77.34,2,25.73,1
6,83.18,3,95.25,1
54,64.84,3,79.7,1
4,49.32,3,13.49,1
54,52.87,3,44.67,1
63,87.25,4,88.52,1
18,95.24,4,94.75,1
44,99.16,1,49.4,1
34,98.96,0,63.27,1
62,29.12,3,20.87,1
14,69.44,1,99.16,1
48,25.76,0,27.01,0
15,74.95,5,94.56,1
62,64.15,2,66.72,1
40,108.77,4,62.73,1
53,55.09,5,53.71,1
24,31.71,0,26.91,0
26,34.3,5,21.77,1
60,96.15,2,25.95,1
41,81.82,0,22.71,0
29,30.11,5,79.06,1
15,28.41,4,38.26,1
45,90.1,4,10.5,1
65,27.28,1,97.06,0
71,102.19,5,88.96,1
9,90.62,3,93.14,1
1,28.13,5,99.52,1
8,28.48,0,21.52,1
63,118.66,0,42.64,0
11,57.43,5,77.03,1
8,57.06,2,71.12,1
35,101.28,4,19.62,1
35,114.72,0,82.5,1
33,118.6,4,26.32,1
5,95.34,0,26.26,1
41,57.63,1,56.01,1
28,28.35,3,61.33,1
7,97.71,0,60.11,1
12,75.84,4,13.69,1
34,62.42,1,88.36,1
33,110.64,0,30.23,1
48,31.12,2,17.3,1
23,69.26,3,89.43,1
62,21.14,0,95.79,0
